도시,월,일,계절,오전날씨,오후날씨,기온,풍속,강수량
가고시마,12,26,겨울,흐림,흐림,17.4,2.2,1
가고시마,12,27,겨울,비,비,12.8,5.5,2
가고시마,12,28,겨울,쾌청,쾌청,9.1,2.8,0
가고시마,12,29,겨울,맑음,맑음,8.8,4.2,0
가고시마,12,30,겨울,쾌청,쾌청,7.3,2.8,0
가고시마,12,31,겨울,쾌청,쾌청,8.7,3.5,0
다카마쓰,1,1,겨울,쾌청,맑음,7.1,2.2,0
다카마쓰,1,2,겨울,다소흐림,다소흐림,9.5,2.1,0
다카마쓰,1,3,겨울,맑음,맑음,10.4,1.1,0
다카마쓰,1,4,겨울,흐림,맑음,11.7,2.8,0
다카마쓰,1,5,겨울,흐림,흐림,9.4,1.9,0
다카마쓰,1,6,겨울,흐림,흐림,9.4,2.1,0
다카마쓰,1,7,겨울,맑음,맑음,9.2,3.3,0
다카마쓰,1,8,겨울,흐림,흐림,7.3,3,0.5
다카마쓰,1,9,겨울,쾌청,맑음,7.4,3,0
다카마쓰,1,10,겨울,맑음,맑음,7.7,3,0
다카마쓰,1,11,겨울,흐림,흐림,8.1,2.5,0
다카마쓰,1,12,겨울,다소흐림,흐림,7.6,2,0
다카마쓰,1,13,겨울,맑음,맑음,5.9,3,0.5
다카마쓰,1,14,겨울,맑음,비,5.4,3.1,0
다카마쓰,1,15,겨울,맑음,맑음,4.6,2.5,0
다카마쓰,1,16,겨울,쾌청,쾌청,4.7,1.8,0
다카마쓰,1,17,겨울,흐림,흐림,5.9,2.4,0.5
다카마쓰,1,18,겨울,비,비,7.9,6.5,2
다카마쓰,1,19,겨울,흐림,맑음,2.9,7.4,0
다카마쓰,1,20,겨울,맑음,맑음,4.5,5.9,0
다카마쓰,1,21,겨울,맑음,흐림,4.8,1.6,0
다카마쓰,1,22,겨울,흐림,흐림,5.9,2.5,0
다카마쓰,1,23,겨울,다소흐림,비,4,2.8,0
다카마쓰,1,24,겨울,눈,흐림,-1.2,4.8,0
다카마쓰,1,25,겨울,맑음,맑음,2.1,4.7,0
다카마쓰,1,26,겨울,흐림,흐림,4.1,2.5,1
다카마쓰,1,27,겨울,맑음,흐림,7.8,3.6,0
다카마쓰,1,28,겨울,맑음,비,6.5,1.2,2
다카마쓰,1,29,겨울,비,비,8.5,1.7,31
다카마쓰,1,30,겨울,흐림,흐림,8.1,1.6,9.5
다카마쓰,1,31,겨울,쾌청,맑음,7.1,1.9,0
다카마쓰,2,1,겨울,흐림,흐림,7.6,3.2,0
다카마쓰,2,2,겨울,비,맑음,6.6,2.6,0
다카마쓰,2,3,겨울,비,맑음,5.3,1.3,0
다카마쓰,2,4,겨울,맑음,다소흐림,6.8,2.8,0
다카마쓰,2,5,겨울,다소흐림,다소흐림,6.8,2.2,0
다카마쓰,2,6,겨울,흐림,맑음,6,3.5,0
다카마쓰,2,7,겨울,맑음,맑음,4.2,2.2,0
다카마쓰,2,8,겨울,쾌청,맑음,4.7,2.3,0
다카마쓰,2,9,겨울,맑음,맑음,8,5,0
다카마쓰,2,10,겨울,쾌청,맑음,5.8,2.2,0
다카마쓰,2,11,겨울,쾌청,다소흐림,5.8,1.5,0
다카마쓰,2,12,겨울,다소흐림,흐림,8.4,1.3,0
다카마쓰,2,13,겨울,흐림,비,12.7,1.1,17.5
다카마쓰,2,14,겨울,맑음,흐림,13.5,4.8,8.5
다카마쓰,2,15,겨울,맑음,비,5.7,5.8,0.5
다카마쓰,2,16,겨울,맑음,맑음,4.4,4.5,0
다카마쓰,2,17,겨울,맑음,맑음,6.4,4.3,0
다카마쓰,2,18,겨울,맑음,맑음,4.5,1.7,0
다카마쓰,2,19,겨울,쾌청,흐림,8.6,1.9,0
다카마쓰,2,20,겨울,비,비,8.6,2.9,15.5
다카마쓰,2,21,겨울,맑음,맑음,7.6,4.2,0
다카마쓰,2,22,겨울,다소흐림,흐림,5.5,1.8,0
다카마쓰,2,23,겨울,흐림,비,7.7,2.7,0
다카마쓰,2,24,겨울,흐림,비,5.8,2.6,0
다카마쓰,2,25,겨울,맑음,맑음,5,3,0
다카마쓰,2,26,겨울,맑음,맑음,5.2,3.1,0
다카마쓰,2,27,겨울,맑음,흐림,7,1.7,0
다카마쓰,2,28,겨울,쾌청,쾌청,8.8,1.5,0
다카마쓰,2,29,겨울,비,비,6.3,4.3,3
다카마쓰,3,1,봄,맑음,맑음,3.5,3.3,0
다카마쓰,3,2,봄,맑음,쾌청,7,3.2,0
다카마쓰,3,3,봄,쾌청,쾌청,9.7,2,0
다카마쓰,3,4,봄,흐림,흐림,9.4,1.2,0
다카마쓰,3,5,봄,쾌청,쾌청,11.9,1.4,0
다카마쓰,3,6,봄,흐림,흐림,14.1,1.2,0
다카마쓰,3,7,봄,흐림,맑음,16,1.4,0
다카마쓰,3,8,봄,맑음,맑음,15.2,2.4,0
다카마쓰,3,9,봄,비,비,8.7,2.6,42.5
다카마쓰,3,10,봄,흐림,흐림,7.9,2.3,0
다카마쓰,3,11,봄,흐림,맑음,7.4,2.5,0
다카마쓰,3,12,봄,맑음,쾌청,7.5,1.9,0
다카마쓰,3,13,봄,흐림,흐림,8,1.7,3.5
다카마쓰,3,14,봄,비,흐림,7,2,19
다카마쓰,3,15,봄,맑음,쾌청,8.4,2.5,0
다카마쓰,3,16,봄,흐림,다소흐림,8.6,1.4,0
다카마쓰,3,17,봄,쾌청,맑음,11.4,1.4,0
다카마쓰,3,18,봄,다소흐림,비,11.9,1.2,5
다카마쓰,3,19,봄,흐림,흐림,14.4,2.6,2
다카마쓰,3,20,봄,맑음,쾌청,11.2,3.3,0
다카마쓰,3,21,봄,맑음,쾌청,10.1,2.3,0
다카마쓰,3,22,봄,쾌청,맑음,10.5,1.7,0
다카마쓰,3,23,봄,다소흐림,다소흐림,12.4,2,0
다카마쓰,3,24,봄,맑음,흐림,9.6,3.6,0
다카마쓰,3,25,봄,맑음,맑음,8,2.8,0
다카마쓰,3,26,봄,맑음,맑음,7.7,1.6,0
다카마쓰,3,27,봄,맑음,흐림,9.7,2.3,0
다카마쓰,3,28,봄,맑음,맑음,11.3,2.8,0
다카마쓰,3,29,봄,맑음,흐림,12.3,1.8,0
다카마쓰,3,30,봄,다소흐림,다소흐림,14.9,2.6,0
다카마쓰,3,31,봄,맑음,흐림,15.1,1.7,0.5
다카마쓰,4,1,봄,비,비,14,3.7,6
다카마쓰,4,2,봄,쾌청,흐림,15.6,1.6,0
다카마쓰,4,3,봄,흐림,흐림,16.9,2.4,3.5
다카마쓰,4,4,봄,비,흐림,15.6,1.7,12
다카마쓰,4,5,봄,흐림,다소흐림,13.9,1.7,0
다카마쓰,4,6,봄,다소흐림,다소흐림,14.9,1.8,0
다카마쓰,4,7,봄,비,흐림,16,2.2,20.5
다카마쓰,4,8,봄,다소흐림,흐림,16.1,2,0
다카마쓰,4,9,봄,다소흐림,다소흐림,16.9,1.4,0
다카마쓰,4,10,봄,다소흐림,흐림,16.4,1.2,0
다카마쓰,4,11,봄,다소흐림,맑음,12.4,4,0
다카마쓰,4,12,봄,맑음,다소흐림,10.4,2,0
다카마쓰,4,13,봄,흐림,흐림,14.6,1.7,6
다카마쓰,4,14,봄,흐림,맑음,18.9,2.4,0
다카마쓰,4,15,봄,쾌청,쾌청,16.3,2.2,0
다카마쓰,4,16,봄,다소흐림,맑음,16.1,1.8,0
다카마쓰,4,17,봄,맑음,쾌청,20.6,4.9,4
다카마쓰,4,18,봄,흐림,흐림,15.6,4.4,0
다카마쓰,4,19,봄,쾌청,쾌청,16,4.1,0
다카마쓰,4,20,봄,쾌청,맑음,15.5,2,0
다카마쓰,4,21,봄,비,비,15.9,1.4,19
다카마쓰,4,22,봄,맑음,맑음,20.4,2.9,0
다카마쓰,4,23,봄,흐림,흐림,18,1.7,4.5
다카마쓰,4,24,봄,다소흐림,흐림,17,1.5,0
다카마쓰,4,25,봄,다소흐림,흐림,16.9,1.7,0
다카마쓰,4,26,봄,쾌청,다소흐림,18.9,1.8,0
다카마쓰,4,27,봄,비,비,17.3,3.7,7.5
다카마쓰,4,28,봄,비,비,16,3.3,1.5
다카마쓰,4,29,봄,맑음,맑음,13.8,3.1,0
다카마쓰,4,30,봄,쾌청,쾌청,16,2,0
다카마쓰,5,1,봄,쾌청,맑음,20.1,2.1,0
다카마쓰,5,2,봄,쾌청,다소흐림,20,1.9,0
다카마쓰,5,3,봄,흐림,비,19,2.9,4
다카마쓰,5,4,봄,쾌청,쾌청,21.6,7.3,0
다카마쓰,5,5,봄,쾌청,다소흐림,21.9,4.8,0
다카마쓰,5,6,봄,비,흐림,17.4,1.4,1.5
다카마쓰,5,7,봄,흐림,다소흐림,19.8,2.5,0
다카마쓰,5,8,봄,다소흐림,다소흐림,19.3,2,0
다카마쓰,5,9,봄,비,비,16.2,2.1,23
다카마쓰,5,10,봄,흐림,비,17.9,1.5,2.5
다카마쓰,5,11,봄,흐림,흐림,18.5,3.6,4.5
다카마쓰,5,12,봄,쾌청,쾌청,18.2,1.9,0
다카마쓰,5,13,봄,맑음,다소흐림,20,1.8,0
다카마쓰,5,14,봄,맑음,다소흐림,21.3,2.1,0
다카마쓰,5,15,봄,흐림,맑음,21.6,1.9,0
다카마쓰,5,16,봄,흐림,비,20.6,3,34.5
다카마쓰,5,17,봄,맑음,맑음,18.9,2.2,0
다카마쓰,5,18,봄,맑음,맑음,19.9,2,0
다카마쓰,5,19,봄,다소흐림,다소흐림,20.6,1.7,0
다카마쓰,5,20,봄,쾌청,쾌청,22.2,1.9,0
다카마쓰,5,21,봄,맑음,맑음,22.8,1.6,0
다카마쓰,5,22,봄,다소흐림,다소흐림,21.7,2,0
다카마쓰,5,23,봄,맑음,다소흐림,23.3,1.9,0
다카마쓰,5,24,봄,다소흐림,흐림,22.7,1.7,0
다카마쓰,5,25,봄,흐림,흐림,21.7,1.8,0
다카마쓰,5,26,봄,흐림,비,23.5,2,4
다카마쓰,5,27,봄,흐림,맑음,24.2,1.8,0
다카마쓰,5,28,봄,흐림,흐림,21.1,2,0
다카마쓰,5,29,봄,흐림,비,20.9,2.2,7.5
다카마쓰,5,30,봄,흐림,맑음,22.1,1.9,3
다카마쓰,5,31,봄,쾌청,다소흐림,24.4,3.2,0
다카마쓰,6,1,여름,다소흐림,맑음,21.9,2.6,0
다카마쓰,6,2,여름,맑음,쾌청,20,2.4,0
다카마쓰,6,3,여름,쾌청,쾌청,21,2.1,0
다카마쓰,6,4,여름,흐림,흐림,20.3,2.5,6
다카마쓰,6,5,여름,비,흐림,18.5,3.4,15
다카마쓰,6,6,여름,흐림,흐림,21.7,2,0
다카마쓰,6,7,여름,비,비,20.3,2.5,42.5
다카마쓰,6,8,여름,흐림,흐림,22.1,2.1,0
다카마쓰,6,9,여름,비,맑음,22.8,1.6,4.5
다카마쓰,6,10,여름,맑음,쾌청,25.2,1.9,0
다카마쓰,6,11,여름,다소흐림,다소흐림,24.9,2,0
다카마쓰,6,12,여름,흐림,비,23,3.3,32.5
다카마쓰,6,13,여름,흐림,흐림,22.8,1.9,12
다카마쓰,6,14,여름,맑음,맑음,25.1,1.9,0
다카마쓰,6,15,여름,다소흐림,다소흐림,25.9,1.9,0
다카마쓰,6,16,여름,비,비,24,2,7.5
다카마쓰,6,17,여름,흐림,흐림,24.7,4.7,0
다카마쓰,6,18,여름,다소흐림,다소흐림,25.4,1.9,0
다카마쓰,6,19,여름,비,흐림,22.7,1.7,26
다카마쓰,6,20,여름,흐림,흐림,24.6,2,0.5
다카마쓰,6,21,여름,흐림,흐림,25.2,2.4,41
다카마쓰,6,22,여름,비,비,23.7,1.4,14
다카마쓰,6,23,여름,흐림,맑음,25.9,2.7,65
다카마쓰,6,24,여름,흐림,흐림,22.6,2.4,32
다카마쓰,6,25,여름,비,비,23.8,4,8
다카마쓰,6,26,여름,맑음,맑음,24.3,3.2,0
다카마쓰,6,27,여름,맑음,흐림,22.6,1.9,19
다카마쓰,6,28,여름,흐림,비,21.3,1.6,9.5
다카마쓰,6,29,여름,비,비,22,1.5,13
다카마쓰,6,30,여름,흐림,비,24.4,1.2,0.5
다카마쓰,7,1,여름,맑음,맑음,26.5,1.7,0
다카마쓰,7,2,여름,다소흐림,다소흐림,28.7,1.9,0
다카마쓰,7,3,여름,맑음,맑음,30.2,2.7,0
다카마쓰,7,4,여름,다소흐림,다소흐림,30.1,2.3,0
다카마쓰,7,5,여름,맑음,흐림,29.2,2,0
다카마쓰,7,6,여름,맑음,맑음,29.6,1.8,0
다카마쓰,7,7,여름,쾌청,다소흐림,29.5,2.3,0
다카마쓰,7,8,여름,비,비,24.5,1.7,13.5
다카마쓰,7,9,여름,비,비,24.8,1.7,28
다카마쓰,7,10,여름,다소흐림,다소흐림,27.6,1.5,0
다카마쓰,7,11,여름,흐림,흐림,27.8,2.1,0
다카마쓰,7,12,여름,흐림,흐림,28.6,1.7,0
다카마쓰,7,13,여름,비,흐림,27.8,2.1,9.5
다카마쓰,7,14,여름,흐림,흐림,28.5,4,0
다카마쓰,7,15,여름,흐림,흐림,25.6,3.9,0
다카마쓰,7,16,여름,다소흐림,흐림,26.1,1.9,0
다카마쓰,7,17,여름,비,흐림,27.5,2.1,9
다카마쓰,7,18,여름,맑음,쾌청,28.7,2.4,0
다카마쓰,7,19,여름,맑음,쾌청,28.4,1.8,0
다카마쓰,7,20,여름,맑음,맑음,28,2.7,0
다카마쓰,7,21,여름,다소흐림,맑음,27.6,2.6,0
다카마쓰,7,22,여름,흐림,다소흐림,27.5,2.4,0
다카마쓰,7,23,여름,흐림,맑음,28,2,0
다카마쓰,7,24,여름,다소흐림,흐림,28,2.1,0
다카마쓰,7,25,여름,다소흐림,비,27.1,1.7,0
다카마쓰,7,26,여름,흐림,맑음,28.1,1.8,0
다카마쓰,7,27,여름,흐림,맑음,29.1,1.8,0
다카마쓰,7,28,여름,맑음,맑음,29.4,2.1,0
다카마쓰,7,29,여름,흐림,맑음,29.4,2.3,0
다카마쓰,7,30,여름,흐림,다소흐림,29,2,0
다카마쓰,7,31,여름,맑음,맑음,29.4,1.9,0
다카마쓰,8,1,여름,맑음,쾌청,30,1.9,0
다카마쓰,8,2,여름,맑음,다소흐림,29.1,1.8,6.5
다카마쓰,8,3,여름,다소흐림,다소흐림,29.2,1.7,0
다카마쓰,8,4,여름,맑음,맑음,29.8,1.9,0
다카마쓰,8,5,여름,흐림,다소흐림,30,2,0
다카마쓰,8,6,여름,다소흐림,맑음,30.4,2.2,0
다카마쓰,8,7,여름,맑음,맑음,29.9,2.3,0
다카마쓰,8,8,여름,맑음,쾌청,30.5,2.3,0
다카마쓰,8,9,여름,맑음,흐림,30.6,2.3,0
다카마쓰,8,10,여름,쾌청,다소흐림,29.9,1.8,0
다카마쓰,8,11,여름,맑음,다소흐림,29.4,2,0
다카마쓰,8,12,여름,쾌청,맑음,29.8,2.1,0
다카마쓰,8,13,여름,맑음,맑음,30.6,1.8,0
다카마쓰,8,14,여름,맑음,맑음,31.3,2.1,0
다카마쓰,8,15,여름,맑음,맑음,31.5,2.4,0
다카마쓰,8,16,여름,맑음,흐림,30,1.9,1
다카마쓰,8,17,여름,흐림,맑음,29.3,2.2,1.5
다카마쓰,8,18,여름,맑음,맑음,30.3,2.3,0
다카마쓰,8,19,여름,맑음,맑음,30.9,2,0
다카마쓰,8,20,여름,흐림,맑음,30.8,2,0.5
다카마쓰,8,21,여름,맑음,쾌청,31.1,2.6,0
다카마쓰,8,22,여름,맑음,흐림,30.1,2.3,0
다카마쓰,8,23,여름,맑음,쾌청,30.1,2.6,0
다카마쓰,8,24,여름,맑음,맑음,29.9,2.8,0
다카마쓰,8,25,여름,맑음,맑음,29.9,2.1,0
다카마쓰,8,26,여름,다소흐림,맑음,28.8,2.3,0.5
다카마쓰,8,27,여름,흐림,흐림,26.3,2.4,0
다카마쓰,8,28,여름,흐림,다소흐림,27.8,4.2,0
다카마쓰,8,29,여름,비,맑음,25.3,5,79.5
다카마쓰,8,30,여름,맑음,맑음,24.9,5.6,0
다카마쓰,8,31,여름,쾌청,쾌청,26.5,3,0
다카마쓰,9,1,가을,맑음,비,25.5,1.6,0
다카마쓰,9,2,가을,다소흐림,맑음,26.8,2.7,0
다카마쓰,9,3,가을,흐림,흐림,28.2,3.4,0
다카마쓰,9,4,가을,맑음,비,28.6,4.4,0
다카마쓰,9,5,가을,비,흐림,26.5,1.5,10.5
다카마쓰,9,6,가을,흐림,맑음,28.5,2.2,0
다카마쓰,9,7,가을,흐림,흐림,28,2.1,0
다카마쓰,9,8,가을,비,흐림,25.5,3.4,36.5
다카마쓰,9,9,가을,맑음,쾌청,25.7,1.7,0
다카마쓰,9,10,가을,맑음,맑음,26,2.2,0
다카마쓰,9,11,가을,맑음,맑음,26.9,1.8,0
다카마쓰,9,12,가을,흐림,흐림,26.7,2.7,1
다카마쓰,9,13,가을,흐림,흐림,24.6,1.8,31
다카마쓰,9,14,가을,비,흐림,24.2,1.3,1
다카마쓰,9,15,가을,흐림,흐림,25,2,0
다카마쓰,9,16,가을,흐림,맑음,26.2,2,0
다카마쓰,9,17,가을,다소흐림,비,26.8,1.4,0
다카마쓰,9,18,가을,비,비,25.3,1.5,31.5
다카마쓰,9,19,가을,비,비,23.3,1.8,21
다카마쓰,9,20,가을,비,비,21.1,3.5,100.5
다카마쓰,9,21,가을,흐림,흐림,22.3,1.6,0
다카마쓰,9,22,가을,비,비,22.3,1.8,12
다카마쓰,9,23,가을,흐림,흐림,22,1.4,0.5
다카마쓰,9,24,가을,흐림,맑음,23.7,2.1,0
다카마쓰,9,25,가을,흐림,흐림,24.5,1.9,0.5
다카마쓰,9,26,가을,비,맑음,24.9,2,9.5
다카마쓰,9,27,가을,맑음,흐림,26.4,1.9,0
다카마쓰,9,28,가을,흐림,비,26.7,2.3,10
다카마쓰,9,29,가을,흐림,비,22.6,1.9,20
다카마쓰,9,30,가을,흐림,흐림,22.1,2,0
다카마쓰,10,1,가을,흐림,흐림,22.9,1.3,1.5
다카마쓰,10,2,가을,맑음,맑음,25.9,1.7,0
다카마쓰,10,3,가을,흐림,흐림,25.2,1.5,0
다카마쓰,10,4,가을,흐림,흐림,24.4,2,0
다카마쓰,10,5,가을,흐림,흐림,26.2,3.2,1.5
다카마쓰,10,6,가을,맑음,맑음,24.3,2.6,0
다카마쓰,10,7,가을,맑음,흐림,21,2.6,0
다카마쓰,10,8,가을,흐림,흐림,24.4,1.4,0
다카마쓰,10,9,가을,흐림,흐림,21.6,3.1,10.5
다카마쓰,10,10,가을,맑음,맑음,19.2,2.6,0
다카마쓰,10,11,가을,흐림,흐림,18.5,1.8,0
다카마쓰,10,12,가을,흐림,맑음,19.2,2.1,0
다카마쓰,10,13,가을,흐림,흐림,17.9,2,0
다카마쓰,10,14,가을,흐림,맑음,17.5,1.4,0
다카마쓰,10,15,가을,쾌청,다소흐림,17.8,1.9,0
다카마쓰,10,16,가을,흐림,비,22.2,3.6,0
다카마쓰,10,17,가을,흐림,맑음,22.3,1.7,15
다카마쓰,10,18,가을,흐림,맑음,23.4,1.5,0
다카마쓰,10,19,가을,흐림,흐림,22.7,1.8,0
다카마쓰,10,20,가을,다소흐림,다소흐림,22.5,1.9,0
다카마쓰,10,21,가을,흐림,흐림,19.1,2.3,0
다카마쓰,10,22,가을,비,비,17,1.2,9.5
다카마쓰,10,23,가을,맑음,흐림,18.5,1.7,1.5
다카마쓰,10,24,가을,쾌청,쾌청,16.9,2.2,0
다카마쓰,10,25,가을,맑음,흐림,18.6,1.6,0
다카마쓰,10,26,가을,맑음,흐림,21.1,1.8,0
다카마쓰,10,27,가을,맑음,맑음,19.3,2.8,0
다카마쓰,10,28,가을,흐림,비,17.6,2,2
다카마쓰,10,29,가을,흐림,흐림,17.4,3.4,0.5
다카마쓰,10,30,가을,맑음,맑음,14.5,1.4,0
다카마쓰,10,31,가을,맑음,흐림,15.3,1.5,5.5
다카마쓰,11,1,가을,맑음,맑음,15,2.7,5
다카마쓰,11,2,가을,쾌청,맑음,14.2,2.4,0
다카마쓰,11,3,가을,맑음,맑음,14.1,3.8,0
다카마쓰,11,4,가을,쾌청,쾌청,12.9,1.9,0
다카마쓰,11,5,가을,쾌청,쾌청,14.2,1.9,0
다카마쓰,11,6,가을,흐림,흐림,14.2,2.7,0
다카마쓰,11,7,가을,흐림,쾌청,12,1.9,0
다카마쓰,11,8,가을,흐림,흐림,13.6,2.1,3
다카마쓰,11,9,가을,맑음,맑음,11.4,3.3,0
다카마쓰,11,10,가을,흐림,흐림,10,2.1,0
다카마쓰,11,11,가을,흐림,맑음,13.4,2.5,0
다카마쓰,11,12,가을,쾌청,맑음,13.6,1.6,0
다카마쓰,11,13,가을,맑음,흐림,14.9,1.3,0
다카마쓰,11,14,가을,비,비,16.3,1.4,2
다카마쓰,11,15,가을,흐림,비,17.1,2.6,1
다카마쓰,11,16,가을,맑음,쾌청,12.1,1.8,0
다카마쓰,11,17,가을,맑음,맑음,12.9,1.7,0
다카마쓰,11,18,가을,쾌청,흐림,13.9,1.8,2
다카마쓰,11,19,가을,비,흐림,18.1,2.2,5.5
다카마쓰,11,20,가을,다소흐림,흐림,18.4,1.7,0
다카마쓰,11,21,가을,흐림,흐림,16.4,2.3,0.5
다카마쓰,11,22,가을,쾌청,쾌청,17.2,3,0
다카마쓰,11,23,가을,흐림,흐림,12.1,3.4,0
다카마쓰,11,24,가을,맑음,맑음,11,3.6,1.5
다카마쓰,11,25,가을,다소흐림,쾌청,10.6,2.3,0
다카마쓰,11,26,가을,쾌청,다소흐림,10.7,1.7,2.5
다카마쓰,11,27,가을,비,비,12.1,1.7,25.5
다카마쓰,11,28,가을,흐림,흐림,12.3,3.3,0
다카마쓰,11,29,가을,맑음,흐림,11.6,3,0
다카마쓰,11,30,가을,흐림,흐림,10.5,2.1,0
다카마쓰,12,1,겨울,흐림,흐림,13.8,3.5,0
다카마쓰,12,2,겨울,맑음,맑음,11.2,2.1,0
다카마쓰,12,3,겨울,쾌청,맑음,10.1,1.2,0
다카마쓰,12,4,겨울,흐림,비,11,1.6,19.5
다카마쓰,12,5,겨울,다소흐림,다소흐림,14.4,3.1,0.5
다카마쓰,12,6,겨울,맑음,맑음,12.1,3.7,0
다카마쓰,12,7,겨울,쾌청,맑음,9,2.1,0
다카마쓰,12,8,겨울,쾌청,다소흐림,9.8,2,0
다카마쓰,12,9,겨울,맑음,맑음,10.4,3.5,0
다카마쓰,12,10,겨울,맑음,흐림,8.9,1.8,0
다카마쓰,12,11,겨울,흐림,맑음,8.6,2.4,0
다카마쓰,12,12,겨울,다소흐림,흐림,7.9,1.4,0
다카마쓰,12,13,겨울,비,비,10,1.2,27
다카마쓰,12,14,겨울,흐림,흐림,9.2,3.3,0.5
다카마쓰,12,15,겨울,맑음,비,6.1,2.2,0.5
다카마쓰,12,16,겨울,맑음,맑음,5.8,3,0
다카마쓰,12,17,겨울,맑음,맑음,7.9,3.1,0
다카마쓰,12,18,겨울,맑음,다소흐림,8.1,1.7,0
다카마쓰,12,19,겨울,맑음,맑음,8.5,1.3,0
다카마쓰,12,20,겨울,흐림,흐림,10.5,1,0
다카마쓰,12,21,겨울,흐림,쾌청,10.7,1.5,0
다카마쓰,12,22,겨울,흐림,흐림,13.9,2.6,6
다카마쓰,12,23,겨울,맑음,비,10.8,6.5,2
다카마쓰,12,24,겨울,맑음,흐림,8.7,2.3,0
다카마쓰,12,25,겨울,맑음,맑음,7.8,1.5,0
